time,ARS,AUD,BRL,CAD,CHF,CNY,COP,EUR,GBP,HKD,IDR,INR,JPY,KWD,MXN,MYR,NZD,PEN,PHP,RUR,SEK,SGD,TRY,USD,VUV,ZAR,gldslv,gldplt,gldpld,date
00:00,8351.48,1624.53,3287.84,1667.65,1533.26,10424.64,2997790,1246.27,1062.57,12963.32,16196835,89443.63,156278,470.69,21258.1,5178.14,2000.95,4313.97,68079.9,68079.9,10712.31,2072.16,2964.07,1671.50,150261,14914.63,53.13424,0.97680,2.24846,2013-02-08
00:02,8351.98,1624.96,3288.20,1667.75,1533.53,10425.27,2996292,1246.34,1062.80,12964.09,16197804,89433.11,156286,470.72,21260.6,5178.45,2001.07,4314.23,68084.1,68084.1,10712.78,2072.45,2964.41,1671.60,150270,14915.85,53.14268,0.97686,2.24859,2013-02-08
00:04,8351.48,1624.86,3288.01,1667.65,1533.43,10424.64,2996113,1246.27,1062.74,12963.32,16196835,89427.76,156276,470.69,21259.3,5178.14,2000.95,4313.97,68080.0,68080.0,10712.14,2072.33,2964.24,1671.50,150261,14914.96,53.13950,0.97680,2.24846,2013-02-08
00:06,8352.98,1624.99,3289.10,1667.79,1533.54,10426.35,2998661,1246.49,1062.76,12965.64,16199742,89451.16,156310,470.78,21263.0,5180.41,2001.31,4314.75,68092.2,68092.2,10713.90,2072.53,2964.94,1671.80,150288,14916.80,53.11752,0.97698,2.24886,2013-02-08
00:08,8351.98,1624.79,3288.70,1667.59,1533.36,10425.10,2998302,1246.34,1062.63,12964.09,16197804,89440.46,156291,470.72,21260.4,5179.79,2001.07,4314.23,68084.1,68084.1,10712.61,2072.28,2964.58,1671.60,150270,14915.02,53.12166,0.97686,2.24859,2013-02-08
00:10,8353.48,1625.09,3289.30,1668.22,1533.80,10427.14,2996830,1246.57,1062.82,12966.42,16200711,89461.86,156318,470.80,21265.7,5181.05,2001.43,4315.00,68096.3,68096.3,10714.87,2072.65,2964.95,1671.90,150297,14917.53,53.13645,0.97703,2.24900,2013-02-08
00:12,8352.48,1625.06,3288.40,1668.36,1533.62,10425.89,2996804,1246.42,1062.70,12965.04,16198773,89443.64,156299,470.75,21263.0,5180.43,2001.19,4314.49,68088.2,68088.2,10713.42,2072.41,2964.42,1671.70,150279,14916.08,53.13009,0.97692,2.24873,2013-02-08
00:14,8352.48,1625.06,3288.40,1668.36,1533.62,10425.89,2996804,1246.42,1062.70,12965.04,16198773,89443.64,156299,470.75,21263.0,5180.43,2001.19,4314.49,68088.2,68088.2,10713.42,2072.41,2964.42,1671.70,150279,14916.08,53.13009,0.97692,2.24873,2013-02-08
00:16,8352.98,1625.16,3288.76,1668.46,1533.71,10426.18,2996670,1246.66,1062.59,12965.64,16206429,89455.01,156234,470.78,21264.6,5180.74,2001.31,4314.41,68095.6,68095.6,10712.39,2072.53,2964.60,1671.80,150291,14916.80,53.14378,0.97698,2.24886,2013-02-08
00:18,8350.98,1624.77,3287.98,1668.05,1533.34,10423.68,2995953,1246.36,1062.34,12962.54,16202552,89433.60,156196,470.66,21259.5,5179.50,2000.83,4313.38,68079.3,68079.3,10709.83,2072.03,2963.89,1671.40,150255,14913.23,53.15734,0.97720,2.24832,2013-02-08
00:20,8351.48,1624.86,3288.51,1668.15,1533.26,10424.48,2997144,1246.43,1062.40,12963.32,16205190,89432.27,156197,470.69,21260.5,5179.81,2000.95,4313.64,68092.6,68092.6,10702.78,2072.16,2963.07,1671.50,150265,14914.29,53.16052,0.97726,2.24846,2013-02-08
00:22,8350.48,1624.67,3287.61,1668.29,1533.25,10423.06,2995794,1246.62,1062.28,12961.93,16195231,89434.44,156138,470.30,21263.8,5179.19,2000.54,4313.46,68088.3,68088.3,10703.51,2072.08,2963.71,1671.30,150245,14912.34,53.12788,0.97714,2.24819,2013-02-08
00:24,8351.98,1624.96,3288.20,1668.59,1533.53,10424.93,2996332,1246.85,1062.47,12964.26,16198138,89450.49,156166,470.39,21267.6,5180.12,2000.90,4314.23,68100.5,68100.5,10705.42,2072.45,2964.25,1671.60,150272,14915.02,53.13742,0.97680,2.24859,2013-02-08
00:26,8350.65,1623.67,3287.78,1667.96,1533.25,10423.23,2995805,1246.45,1062.28,12961.93,16203187,89472.04,156126,470.64,21263.8,5179.19,2000.04,4312.79,68084.4,68084.4,10698.82,2072.24,2963.88,1671.30,150240,14911.84,53.12788,0.97663,2.24819,2013-02-08
00:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
